timestamp,time_passed,is_keyboard,event,operator,task_id,repetition
1465420055.8172,0.3837280273,False,Mouse Moved,P,1,3
1465420056.34553,0.5283324718,False,Mouse Moved,P,1,3
1465420056.94555,0.6000204086,False,Mouse Moved,P,1,3
1465420057.42548,0.4799268246,False,Mouse Moved,P,1,3
1465420057.80736,0.3818786144,False,Mouse Moved,P,1,3
1465420058.21548,0.4081120491,False,Mouse Moved,P,1,3
1465420058.72723,0.5117526054,False,Mouse Moved,P,1,3
1465420074.41364,1.23977661132813E-05,False,Mouse Moved,P,1,4
1465420074.81142,0.3977828026,False,Mouse Moved,P,1,4
1465420075.24338,0.4319536686,False,Mouse Moved,P,1,4
1465420076.66352,1.4201421738,False,Mouse Moved,P,1,4
1465420077.18935,0.5258250237,False,Mouse Moved,P,1,4
1465420077.55805,0.3687055111,False,Mouse Moved,P,1,4
1465420077.90134,0.34328866,False,Mouse Moved,P,1,4
1465420078.47537,0.5740258694,False,Mouse Moved,P,1,4
1465420079.10801,0.6326322556,False,Mouse Moved,P,1,4
1465420079.48334,0.3753349781,False,Mouse Moved,P,1,4
1465420079.87544,0.3920941353,False,Mouse Moved,P,1,4
1465420080.55348,0.678047657,False,Mouse Moved,P,1,4
1465420081.10627,0.5527799129,False,Mouse Moved,P,1,4
1465420081.47344,0.3671691418,False,Mouse Moved,P,1,4
1465420082.06336,0.5899231434,False,Mouse Moved,P,1,4
1465420082.89539,0.8320317268,False,Mouse Moved,P,1,4
1465420083.38362,0.4882245064,False,Mouse Moved,P,1,4
1465420083.78938,0.4057648182,False,Mouse Moved,P,1,4
1465420084.1815,0.392113924,False,Mouse Moved,P,1,4
1465420084.98741,0.8059103489,False,Mouse Moved,P,1,4
1465420097.17959,1.1444091796875E-05,False,Mouse Moved,P,1,5
1465420097.59532,0.4157233238,False,Mouse Moved,P,1,5
1465420098.00341,0.4080963135,False,Mouse Moved,P,1,5
1465420098.63544,0.6320300102,False,Mouse Moved,P,1,5
1465420099.36138,0.725933075,False,Mouse Moved,P,1,5
1465420099.71336,0.351978302,False,Mouse Moved,P,1,5
1465420100.10529,0.3919365406,False,Mouse Moved,P,1,5
1465420100.79136,0.6860702038,False,Mouse Moved,P,1,5
1465420101.33557,0.5442035198,False,Mouse Moved,P,1,5
1465420101.70146,0.3658936024,False,Mouse Moved,P,1,5
1465420102.09329,0.3918213844,False,Mouse Moved,P,1,5
1465420102.73341,0.6401238441,False,Mouse Moved,P,1,5
1465420103.28539,0.5519797802,False,Mouse Moved,P,1,5
1465420103.69339,0.407998085,False,Mouse Moved,P,1,5
1465420104.09141,0.3980157375,False,Mouse Moved,P,1,5
1465420105.05945,0.9680376053,False,Mouse Moved,P,1,5
1465420105.64338,0.5839343071,False,Mouse Moved,P,1,5
1465420106.00134,0.35795331,False,Mouse Moved,P,1,5
1465420106.48139,0.480050087,False,Mouse Moved,P,1,5
1465420107.29746,0.8160669804,False,Mouse Moved,P,1,5
1465420119.72952,1.16825103759766E-05,False,Mouse Moved,P,1,6
1465420120.14539,0.4158642292,False,Mouse Moved,P,1,6
1465420120.55129,0.4058995247,False,Mouse Moved,P,1,6
1465420121.37559,0.8243045807,False,Mouse Moved,P,1,6
1465420121.91716,0.5415821075,False,Mouse Moved,P,1,6
1465420122.30932,0.39214468,False,Mouse Moved,P,1,6
1465420122.7094,0.4000725746,False,Mouse Moved,P,1,6
1465420123.45121,0.7418136597,False,Mouse Moved,P,1,6
1465420123.98728,0.5360724926,False,Mouse Moved,P,1,6
1465420124.3474,0.3601119518,False,Mouse Moved,P,1,6
1465420124.737,0.3895940781,False,Mouse Moved,P,1,6
1465420125.48911,0.7521116734,False,Mouse Moved,P,1,6
1465420125.98316,0.4940526485,False,Mouse Moved,P,1,6
1465420126.33538,0.3522152901,False,Mouse Moved,P,1,6
1465420126.7832,0.4478180408,False,Mouse Moved,P,1,6
1465420127.46345,0.6802513599,False,Mouse Moved,P,1,6
1465420128.03064,0.5671925545,False,Mouse Moved,P,1,6
1465420128.39725,0.366607666,False,Mouse Moved,P,1,6
1465420128.95722,0.5599713326,False,Mouse Moved,P,1,6
1465420129.66913,0.7119123936,False,Mouse Moved,P,1,6
1465420172.91942,2.86102294921875E-05,True,switched to keyboard,H,4,1
1465420172.9195,5.31673431396484E-05,True,1,K,4,1
1465420173.00615,0.0866656303,True,KeyReleased: 49,K,4,1
1465420173.29626,0.2901139259,True,4,K,4,1
1465420173.42154,0.1252710819,True,KeyReleased: 52,K,4,1
1465420173.62979,0.2082605362,True,7,K,4,1
1465420173.7012,0.0713999271,True,KeyReleased: 55,K,4,1
1465420174.15878,0.4575793743,True,Operations.ADD,K,4,1
1465420174.26238,0.1035881042,True,KeyReleased: 43,K,4,1
1465420174.73859,0.4761974812,True,1,K,4,1
1465420174.84403,0.1054494381,True,KeyReleased: 49,K,4,1
1465420175.05442,0.2103877068,True,4,K,4,1
1465420175.1374,0.0829789639,True,KeyReleased: 52,K,4,1
1465420175.36315,0.2257528305,True,7,K,4,1
1465420175.45476,0.0915975571,True,KeyReleased: 55,K,4,1
1465420175.97019,0.5154328346,True,Operations.ADD,K,4,1
1465420176.06726,0.0970697403,True,KeyReleased: 43,K,4,1
1465420176.56368,0.4964213371,True,1,K,4,1
1465420176.64049,0.0767998695,True,KeyReleased: 49,K,4,1
1465420176.88026,0.2397699356,True,4,K,4,1
1465420176.96931,0.0890481472,True,KeyReleased: 52,K,4,1
1465420177.18005,0.2107412815,True,7,K,4,1
1465420177.26456,0.0844938755,True,KeyReleased: 55,K,4,1
1465420177.58048,0.3159263134,True,Operations.ADD,K,4,1
1465420177.66555,0.0850689411,True,KeyReleased: 43,K,4,1
1465420178.07156,0.406008482,True,1,K,4,1
1465420178.17737,0.1058065891,True,KeyReleased: 49,K,4,1
1465420178.39779,0.2204155922,True,4,K,4,1
1465420178.48299,0.0851933956,True,KeyReleased: 52,K,4,1
1465420178.66158,0.1785964966,True,7,K,4,1
1465420178.74658,0.0849952698,True,KeyReleased: 55,K,4,1
1465420179.05766,0.3110809326,True,Operations.ADD,K,4,1
1465420179.14257,0.0848960876,True,KeyReleased: 43,K,4,1
1465420179.52111,0.3785488605,True,1,K,4,1
1465420179.6032,0.0820863247,True,KeyReleased: 49,K,4,1
1465420179.80417,0.2009627819,True,4,K,4,1
1465420179.8884,0.0842301846,True,KeyReleased: 52,K,4,1
1465420180.07723,0.1888289452,True,7,K,4,1
1465420180.16248,0.0852472782,True,KeyReleased: 55,K,4,1
